m_Ap [eV],\epsilon
9.547716114208067e-14,1.2653586888318495e-14
1.0595601792776148e-13,1.1275373815443222e-14
1.1758495540521582e-13,1.00742308877152e-14
1.3049019780144016e-13,9.025298157513409e-15
1.448118227674536e-13,8.107465104512292e-15
1.6070528182616384e-13,7.302772170891896e-15
1.7834308769319056e-13,6.5959125947078515e-15
1.9791668678535574e-13,5.973817009116023e-15
2.1963853724165515e-13,5.42530645705389e-15
2.437444150122222e-13,4.9408020556610415e-15
2.7049597304631315e-13,4.512081647753785e-15
3.001835813575592e-13,4.1320754916323346e-15
3.331294787934684e-13,3.7946944396659254e-15
3.696912707195032e-13,3.4946852001541912e-15
4.10265810582719e-13,3.2275082139375177e-15
4.552935074866939e-13,2.9892344458471805e-15
5.052631065335679e-13,2.7764580226129887e-15
5.60716993820547e-13,2.5862221685657026e-15
6.222570836730231e-13,2.4159563188611517e-15
6.905513520162316e-13,2.2634226436257052e-15
7.663410868007463e-13,2.1266705088752175e-15
8.504489341802703e-13,2.00399764227498e-15
9.437878277775391e-13,1.8939169727380293e-15
1.0473708979594487e-12,1.8664745754917563e-15
1.1623224686798543e-12,1.899554771626514e-15
1.289890261253308e-12,1.9471758042513917e-15
1.4314589375234814e-12,2.010818596932311e-15
1.5885651294280527e-12,2.0996503585691006e-15
1.7629141180959445e-12,2.22883100872807e-15
1.9563983435170647e-12,2.4079329392469154e-15
2.1711179456945097e-12,2.6470658175881574e-15
2.409403560239527e-12,2.990886327070136e-15
2.673841615839944e-12,3.5580580757833685e-15
2.9673024081888726e-12,4.721521050245859e-15
3.2929712550971614e-12,1.0508779937297592e-14
3.6543830709572616e-12,2.0
4.055460735840827e-12,2.0
4.500557675700488e-12,2.0
4.99450511585514e-12,2.0
5.542664520663118e-12,2.0
6.150985788580504e-12,2.0
6.8260718342723785e-12,2.0
7.57525025877192e-12,2.0
8.40665288561835e-12,2.0
9.329304026284695e-12,2.0
1.0353218432956616e-11,2.0
1.1489510001873062e-11,2.0
1.2750512407130129e-11,2.0
1.4149912974345787e-11,2.0
1.5702901247293776e-11,2.0
1.7426333860096473e-11,2.0
