m_Ap [eV],\epsilon
4.2818517986524066e-16,2.0
4.3816899315141857e-16,2.0
4.483855948021182e-16,2.0
4.588404126454752e-16,2.0
4.695390010680054e-16,2.0
4.804870439655124e-16,2.0
4.9169035776280215e-16,2.0
5.031548945038046e-16,2.0
5.148867450137487e-16,2.0
5.268921421350666e-16,2.0
5.391774640387494e-16,2.0
5.517492376129117e-16,2.0
5.646141419303661e-16,2.0
5.777790117970495e-16,2.0
5.912508413831869e-16,2.0
6.050367879391212e-16,2.0
6.191441755977835e-16,2.0
6.335804992658242e-16,2.0
6.483534286054714e-16,2.0
6.634708121092337e-16,2.0
6.789406812696098e-16,2.0
6.947712548460226e-16,2.0
7.109709432312424e-16,2.0
7.275483529196218e-16,2.0
7.445122910795128e-16,2.0
7.618717702322984e-16,2.0
7.796360130405221e-16,2.0
7.978144572076613e-16,2.0
8.164167604921455e-16,2.0
8.354528058382854e-16,2.0
8.549327066268367e-16,2.0
8.748668120479896e-16,2.0
8.952657125996383e-16,2.0
9.161402457138502e-16,2.0
9.37501501514527e-16,2.0
9.593608287093126e-16,2.0
9.81729840618882e-16,2.0
1.004620421346811e-15,2.0
1.0280447320933077e-15,2.0
1.052015217616157e-15,2.0
1.0765446128423137e-15,2.0
1.1016459496336546e-15,2.0
1.1273325637104848e-15,2.0
1.153618101736476e-15,2.0
1.1805165285688031e-15,2.0
1.2080421346773265e-15,2.0
1.2362095437367666e-15,2.0
1.2650337203959012e-15,2.0
1.2945299782279135e-15,2.0
1.3247139878661147e-15,2.0
1.355601785329366e-15,2.0
1.3872097805416182e-15,2.0
1.4195547660500986e-15,2.0
1.4526539259467782e-15,2.0
1.4865248449978542e-15,2.0
1.5211855179861018e-15,0.9527282143602758
1.5566543592710588e-15,0.884774451009886
1.5929502125721198e-15,0.8206103994466618
1.6300923609797378e-15,0.7581078578550747
1.6681005372000557e-15,0.7001671005540747
1.7069949340384044e-15,0.644287734587522
1.746796215127242e-15,0.5929250271707879
1.787525525904232e-15,0.5456768288750664
1.82920450484629e-15,0.5014229807728164
1.8718552949655754e-15,0.46150257285511276
1.915500555573524e-15,6.343252445146685e-05
1.9601634743191815e-15,3.221020459936266e-05
2.00586777950823e-15,2.403535773423395e-05
2.052637752709248e-15,1.9805521630934293e-05
2.100498241653911e-15,1.7099793945889762e-05
2.1494746734379763e-15,1.5162622293526818e-05
2.19959306803007e-15,1.368224571213757e-05
2.250880052095457e-15,1.2512250359529882e-05
2.3033628731421268e-15,1.1552360979956754e-05
2.357069413996723e-15,1.072475889792972e-05
2.412028207618002e-15,1.0029104241822358e-05
2.4682684522556875e-15,9.42880906339073e-06
2.5258200269627795e-15,8.887732471862448e-06
2.5847135074695586e-15,8.405100294699812e-06
2.6449801824277145e-15,7.974496809144732e-06
2.706652070033236e-15,7.585596631617395e-06
2.769761935036885e-15,7.234065583735169e-06
2.8343433061513035e-15,6.912978613949089e-06
2.900430493863986e-15,6.6142766553589286e-06
2.9680586086655962e-15,6.335534321630483e-06
3.037263579703305e-15,6.07761657876161e-06
3.1080821738690577e-15,5.839504955557729e-06
3.180552015332913e-15,5.620345518453817e-06
3.2547116055318414e-15,5.4145885884153234e-06
3.3306003436245816e-15,5.216091305937827e-06
3.408258547423445e-15,5.031979909902952e-06
3.4877274748141704e-15,4.864022744250528e-06
3.569049345675222e-15,4.696820129973787e-06
3.652267364308168e-15,4.5420493197512985e-06
3.737425742391057e-15,4.399844463216334e-06
3.824569722466991e-15,4.256712334499503e-06
3.913745601980376e-15,4.1257340469732106e-06
4.005000757873603e-15,4.001604568163002e-06
4.098383671757253e-15,3.8790599241643055e-06
4.193943955667178e-15,3.7693755627913803e-06
4.2917323784221484e-15,3.6571641759449115e-06
4.391800892596077e-15,3.553391532471423e-06
4.494202662119133e-15,3.4529458338688357e-06
4.5989920905224285e-15,3.357208431423361e-06
4.706224849841272e-15,3.2674882706887387e-06
4.815957910192341e-15,3.178195581740999e-06
4.928249570040503e-15,3.095555083207712e-06
5.043159487171348e-15,3.012347481217388e-06
5.160748710385897e-15,2.9366825858131453e-06
5.28107971193432e-15,2.859269089821649e-06
5.404216420705904e-15,2.789538042515356e-06
5.530224256192889e-15,2.7176642633378784e-06
5.6591701632462305e-15,2.652323488173449e-06
5.7911226476417465e-15,2.5857296429575223e-06
5.92615181247554e-15,2.5248587409452375e-06
6.064329395408049e-15,2.4626754845738294e-06
6.205728806776488e-15,2.405700229274315e-06
6.350425168595949e-15,2.3484050700424243e-06
6.4984953544698754e-15,2.294759397567239e-06
6.650018030431105e-15,2.24160936818565e-06
6.805073696735193e-15,2.190378493862508e-06
6.9637447306282076e-15,2.141753921875228e-06
7.12611543011173e-15,2.093100598425588e-06
7.292272058728297e-15,2.048361722687877e-06
7.462302891391092e-15,2.001527441609206e-06
7.636298261282226e-15,1.9596683702631086e-06
7.814350607844525e-15,1.916162532891844e-06
7.99655452589233e-15,1.8756248714553683e-06
8.183006815867373e-15,1.8358098737749384e-06
8.373806535266473e-15,1.7964572116878744e-06
8.56905505126833e-15,1.7605785937345642e-06
8.768856094587409e-15,1.7225677794683145e-06
8.9733158145835e-15,1.6880626980972027e-06
9.182542835656263e-15,1.6530150641855655e-06
9.396648314954672e-15,1.6192555640111695e-06
9.615746001432076e-15,1.5875969806953358e-06
9.839952296278206e-15,1.5547519593985604e-06
1.006938631476025e-14,1.524821743761189e-06
1.0304169949505854e-14,1.4940694671128435e-06
1.0544427935261662e-14,1.464586729237485e-06
1.0790287915161814e-14,1.4375077313794453e-06
1.104188050854158e-14,1.4083535294039187e-06
1.1299339380332193e-14,1.3817216579426299e-06
1.156280131207373e-14,1.3555030136913417e-06
1.1832406274583756e-14,1.3290980973518733e-06
1.210829750232037e-14,1.3051078139264932e-06
1.2390621569479131e-14,1.279843173735311e-06
1.2679528467864313e-14,1.2559720425358766e-06
1.2975171686575842e-14,1.2336351322435013e-06
1.3277708293554264e-14,1.2098337868926054e-06
1.3587299019027064e-14,1.1879934128045379e-06
1.3904108340900667e-14,1.1665749034897251e-06
1.422830457214349e-14,1.1447430612431699e-06
1.4560059950206455e-14,1.124680840554944e-06
1.4899550728528505e-14,1.1042170368375228e-06
1.52469572701757e-14,1.084112507483438e-06
1.560246414366365e-14,1.0656138628875085e-06
1.5966260221014218e-14,1.046130667782141e-06
1.6338538778098638e-14,1.0275469819568937e-06
1.6719497597319917e-14,1.0104227603031002e-06
1.710933907269017e-14,9.91823976508036e-07
1.750827031735727e-14,9.745889804291723e-07
1.7916503273639032e-14,9.58468602317555e-07
1.8334254825622925e-14,9.410875162108392e-07
1.8761746914391235e-14,9.249627317552198e-07
1.9199206655932867e-14,9.098400113715769e-07
1.9646866461804484e-14,8.936265146293684e-07
2.010496416260501e-14,8.787198817440202e-07
2.057374313432916e-14,8.645978837208657e-07
2.1053452427667084e-14,8.494763491299199e-07
2.1544346900318866e-14,8.354842038856692e-07
2.204668735239412e-14,8.223599405556519e-07
2.2560740664968637e-14,8.082002196899781e-07
2.308677994187172e-14,7.950811050657111e-07
2.36250846547795e-14,7.828941360355225e-07
2.4175940791691332e-14,7.695285298993767e-07
2.4739641008868168e-14,7.571366289363584e-07
2.531648478631358e-14,7.45639833134033e-07
2.5906778586880116e-14,7.332986366725221e-07
2.6510836019085417e-14,7.215628201069929e-07
2.71289780037247e-14,7.107117954979937e-07
2.7761532944368035e-14,6.993163881329018e-07
2.8408836901833067e-14,6.882197836186957e-07
2.907123377272581e-14,6.778644184675675e-07
2.9749075472144437e-14,6.675030689144833e-07
3.044272212064306e-14,6.569352702232418e-07
3.115254223555491e-14,6.471041752192947e-07
3.187891292677649e-14,6.376870462829322e-07
3.262222009711673e-14,6.275926598281626e-07
3.3382858647317646e-14,6.181932429986833e-07
3.416123268585532e-14,6.096430819743007e-07
3.4957755743632787e-14,6.008788906563234e-07
3.577285099367877e-14,5.923181699458906e-07
3.660695147596906e-14,5.843086574327452e-07
3.7460500327489966e-14,5.766892317581919e-07
3.8333951017666055e-14,5.683680519493204e-07
3.922776758927723e-14,5.605756513490972e-07
4.014242490499326e-14,5.53273506298274e-07
4.107840889965651e-14,5.4597207965876e-07
4.2036216838447184e-14,5.383644845587789e-07
4.3016357581067997e-14,5.31229359817594e-07
4.401935185208879e-14,5.245330827366307e-07
4.504573251759463e-14,5.176028771661478e-07
4.6096044868284386e-14,5.106074447471787e-07
4.717084690917022e-14,5.040371307518714e-07
4.827070965603188e-14,4.978624300982217e-07
4.939621743878326e-14,4.913464115814303e-07
5.054796821191246e-14,4.848792767255538e-07
5.1726573872160246e-14,4.787972897257044e-07
5.293266058360567e-14,4.730743482824753e-07
5.4166869110331576e-14,4.6700853144661074e-07
5.5429855156846744e-14,4.610000515174126e-07
5.6722289716445495e-14,4.553427299184208e-07
5.804485942768984e-14,4.5001323727895085e-07
5.939826693920362e-14,4.4442878827558647e-07
6.078323128297236e-14,4.388203593682346e-07
6.220048825634718e-14,4.335339007444341e-07
6.365079081295578e-14,4.2854837533105207e-07
6.513490946272809e-14,4.2347297462985244e-07
6.665363268124921e-14,4.1821448641936273e-07
6.820776732865692e-14,4.132527033308023e-07
6.979813907830667e-14,4.0856856199282e-07
7.142559285543134e-14,4.040275458510737e-07
7.309099328602919e-14,3.9907557455915957e-07
7.479522515621829e-14,3.9439832842094796e-07
7.653919388230155e-14,3.8997839351344596e-07
7.832382599179204e-14,3.857996402757336e-07
8.015006961565413e-14,3.8131184489280876e-07
8.201889499202212e-14,3.768835609691235e-07
8.393129498166373e-14,3.7269478149984226e-07
8.588828559546258e-14,3.687307121837152e-07
8.789090653419963e-14,3.64843676728209e-07
8.994022174092054e-14,3.6063278185998715e-07
9.20373199661823e-14,3.5664586344625225e-07
9.418331534647961e-14,3.5286927095167493e-07
9.637934799615795e-14,3.492903423130166e-07
9.862658461312831e-14,3.4558197330188446e-07
1.0092621909870484e-13,3.417709167799409e-07
1.0327947319189525e-13,3.381577367879483e-07
1.0568759711848051e-13,3.347306540400398e-07
1.0815187025522892e-13,3.3147866455613444e-07
1.1067360180959746e-13,3.280202672080275e-07
1.1325413151528126e-13,3.245480865876289e-07
1.1589483034398117e-13,3.2125114927647254e-07
1.1859710123376706e-13,3.181190683893841e-07
1.2136237983442418e-13,3.151424487375432e-07
1.2419213527017847e-13,3.119922435578738e-07
1.2708787092020595e-13,3.0880652146325963e-07
1.3005112521734098e-13,3.0577947286736774e-07
1.3308347246540762e-13,3.029021124402162e-07
1.3618652367560827e-13,3.0016548212553673e-07
1.3936192742241435e-13,2.9738651687967485e-07
1.4261137071941298e-13,2.944488258412186e-07
1.4593657991557577e-13,2.916519648503162e-07
1.4933932161242532e-13,2.889877453275697e-07
1.528214036025871e-13,2.864484829899523e-07
1.563846758302248e-13,2.8402754817856263e-07
1.6003103137387019e-13,2.813482060460473e-07
1.637624074521689e-13,2.787449756989621e-07
1.6758078645307687e-13,2.762654085242207e-07
1.714881969870541e-13,2.7390232836216224e-07
1.754867149648152e-13,2.7164404850602054e-07
1.7957846470020968e-13,2.694453014948887e-07
1.8376562003881725e-13,2.6700056400858434e-07
1.8805040551285835e-13,2.646784886223952e-07
1.9243509752303324e-13,2.6282842350195414e-07
1.9692202554791736e-13,2.6133482265896706e-07
2.0151357338155586e-13,2.598986577472256e-07
2.0621218039991446e-13,2.585010760311664e-07
2.1102034285685965e-13,2.571378291744125e-07
2.1594061521035675e-13,2.5573366171734725e-07
2.2097561147959032e-13,2.5425879461514303e-07
2.2612800663372792e-13,2.5285942654112386e-07
2.314005380130654e-13,2.515364057601123e-07
2.3679600678330787e-13,2.502648532463308e-07
2.4231727942376006e-13,2.490284841009747e-07
2.4796728925021603e-13,2.478377717891599e-07
